phase,original,quarantined_to
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_1930.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_1930.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_1639.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_1639.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_3345.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_3345.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_4667.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_4667.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_3910.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_3910.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\ms_10401.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\ms_10401.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\ms_10797.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\ms_10797.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\ms_2877.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\ms_2877.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_8137.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_8137.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_11974.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_11974.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_2339.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_2339.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_4726.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_4726.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_7545.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_7545.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_4435.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_4435.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_7912.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_7912.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_4575.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_4575.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_9966.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_9966.jpg
